level2,linkedGenre,title2,levelDiff,difficulty2,attribute2
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%B9%E3%83%91%E3%82%A4_h"">スパイ(H)</a>",SPICY PIECE,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%A2%E3%83%B3%E3%83%93%E3%82%A8%E3%83%B3%E3%83%88_h"">アンビエント(H)</a>",birds,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%83%B4%E3%82%A3%E3%82%B8%E3%83%A5%E3%82%A2%E3%83%AB2_h"">ヴィジュアル2(H)</a>",Cry Out,29.0,中(+0.000±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%A8%E3%83%B3%E3%82%ABremix_n"">エンカREMIX(N)</a>",お江戸花吹雪 TEYAN-day MIX,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%83%91%E3%83%A9%E3%83%91%E3%83%A9_h"">パラパラ(H)</a>",ウルトラハイヒール～I JUST WANNA TELL YOU,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%83%AD%E3%83%83%E3%82%AF%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%AB_h"">ロックンロール(H)</a>",I am Rock'n'roll King,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%B5%E3%83%BC%E3%83%95%E3%83%AD%E3%83%83%E3%82%AF_n"">サーフロック(N)</a>",純愛サレンダー,29.0,中(+0.000±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%A6%E3%82%AF%E3%83%AC%E3%83%AC_h"">ウクレレ(H)</a>",ホノホノ,29.0,中(+0.000±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%87%E3%82%A3%E3%83%9D%E3%83%83%E3%83%97_candy_n"">キャンディポップ(N)</a>",CANDY♥,29.0,中(+0.000±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%83%8F%E3%82%A6%E3%82%B7%E3%83%BC%E3%83%9D%E3%83%83%E3%83%97_h"">ハウシーポップ(H)</a>",会社はワタシで廻ってる!?,28.5,弱(-0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%83%A6%E3%83%BC%E3%83%AD%E3%83%93%E3%83%BC%E3%83%88_love2_%E3%82%B7%E3%83%A5%E3%82%AC%E3%83%BC_n"">ユーロビート(N)</a>",♥Love² シュガ→ ♥,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%83%A9%E3%82%A6%E3%83%B3%E3%82%B8%E3%83%9D%E3%83%83%E3%83%97_linus_n"">ラウンジポップ(N)</a>",Linus,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%B7%E3%83%A7%E3%82%A6%E3%83%AF%E3%82%AB%E3%83%A8%E3%82%A6remix_n"">ショウワカヨウREMIX(N)</a>",林檎と蜂蜜（美味しさ倍増MIX),29.0,中(+0.000±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%A2%E3%83%B3%E3%82%BB%E3%83%A0%E3%83%88%E3%83%A9%E3%83%B3%E3%82%B9_n"">アンセムトランス(N)</a>",Votum stellarum,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%83%95%E3%82%A7%E3%82%A2%E3%83%AA%E3%83%BC%E3%83%86%E3%82%A4%E3%83%AB_h"">フェアリーテイル(H)</a>",“Princess Piccolo”,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%A6%E3%83%81%E3%83%A5%E3%82%A6%E3%83%AA%E3%83%A7%E3%82%B3%E3%82%A6_h"">ウチュウリョコウ(H)</a>",Space Dog,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E5%A4%A7%E6%B2%B3remix_n"">大河REMIX(N)</a>",ANAHONIKUY -雪の華PuzzLeMix-,29.0,中(+0.000±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%81%AD%E3%81%B6%E3%81%9F_n"">ねぶた(N)</a>",烏,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%83%9C%E3%83%A4%E3%83%BC%E3%82%B8%E3%83%A5_h"">ボヤージュ(H)</a>",さよならサンクチュアリ,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%A2%E3%82%AB%E3%83%9A%E3%83%A9_h"">アカペラ(H)</a>",MAGICAL VOICE SHOWER,28.5,弱(-0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%A8%E3%82%A4%E3%82%B8%E3%83%AD%E3%83%83%E3%82%AF_n"">エイジロック(N)</a>",カリスマ(ゲームサイズ),29.0,中(+0.000±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%A8%E3%83%B4%E3%82%A1_%E6%AE%8B%E9%85%B7%E3%81%AA%E5%A4%A9%E4%BD%BF%E3%81%AE%E3%83%86%E3%83%BC%E3%82%BC_h"">残酷な天使のテーゼ(H)</a>",残酷な天使のテーゼ,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%BB%E3%83%84%E3%83%96%E3%83%B3_n"">セツブン(N)</a>",お豆の哀歌,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%83%92%E3%83%BC%E3%83%AA%E3%83%B3%E3%82%B0%E3%83%87%E3%83%A5%E3%82%AA_h"">ヒーリングデュオ(H)</a>",home,29.0,中(+0.000±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%83%95%E3%83%AD%E3%82%A6%E3%83%93%E3%83%BC%E3%83%88_n"">フロウビート(N)</a>",CURUS,28.5,弱(-0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%B3%E3%82%B0_n"">レーシング(N)</a>",Violently Car,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%83%87%E3%82%B9%E3%83%AD%E3%83%83%E3%82%AF_n"">デスロック(N)</a>",レトロスペクト路,29.0,中(+0.000±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%81%A8%E3%81%8D%E3%82%81%E3%81%8D%E3%83%9C%E3%83%83%E3%82%B5_ex"">ときめきボッサ(EX)</a>",いつか王子さまがぁ！,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%83%90%E3%83%88%E3%83%AB%E3%83%80%E3%83%B3%E3%82%B9_n"">バトルダンス(N)</a>",シャムシールの舞,29.0,中(+0.000±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%AC%E3%83%A0%E3%83%A9%E3%83%B3%E3%83%88%E3%83%A9%E3%83%B3%E3%82%B9_n"">ガムラントランス(N)</a>",Gamelan de Couple,28.5,弱(-0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E4%BA%A4%E9%9F%BF%E7%9A%84%E7%89%A9%E8%AA%9E_h"">交響的物語(H)</a>",駕篭の鳥,29.5,強(+0.500±0.0),
29,"<a href=""https://popn.wiki//%E9%9B%A3%E6%98%93%E5%BA%A6%E8%A1%A8/%E3%82%B3%E3%83%B3%E3%83%86%E3%82%A3%E3%83%8D%E3%83%B3%E3%82%BF%E3%83%AB_h"">コンティネンタル(H)</a>",走り続けて,28.5,弱(-0.500±0.0),
